Format Version,1.23,Take Name,Take 2020-10-05 02.17.12 PM,Take Notes,,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2020-10-05 02.17.13.348 PM,Total Frames in Take,5032,Total Exported Frames,5032,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014
,ID,"C39E0","C39E0","C39E0","C3AA0","C3AA0","C3AA0","C3AB0","C3AB0","C3AB0","C38B0","C38B0","C38B0","C3AD0","C3AD0","C3AD0","C3AE0","C3AE0","C3AE0","C3AF0","C3AF0","C3AF0","C3AC0","C3AC0","C3AC0","C3B10","C3B10","C3B10","C3B20","C3B20","C3B20","C3B30","C3B30","C3B30","C3B60","C3B60","C3B60","C3B70","C3B70","C3B70"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.004000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.008000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.012000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.024000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.028000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.036000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.044000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.048000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.052000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.056000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.064000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.072000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.084000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.088000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.092000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.096000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
