Format Version,1.23,Take Name,Take 2020-10-13 01.30.33 PM,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2020-10-13 01.30.34.331 PM,Total Frames in Take,5923,Total Exported Frames,5923,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000
,ID,"C3530","C3530","C3530"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
0,0.000000,,,
1,0.002778,,,
2,0.005556,,,
3,0.008333,,,
4,0.011111,,,
5,0.013889,,,
6,0.016667,,,
7,0.019444,,,
8,0.022222,,,
9,0.025000,,,
10,0.027778,,,
11,0.030556,,,
12,0.033333,,,
13,0.036111,,,
14,0.038889,,,
15,0.041667,,,
16,0.044444,,,
17,0.047222,,,
18,0.050000,,,
19,0.052778,,,
20,0.055556,,,
21,0.058333,,,
22,0.061111,,,
23,0.063889,,,
24,0.066667,,,
25,0.069444,,,
26,0.072222,,,
27,0.075000,,,
28,0.077778,,,
29,0.080556,,,
30,0.083333,,,
31,0.086111,,,
32,0.088889,,,
33,0.091667,,,
34,0.094444,,,
35,0.097222,,,
36,0.100000,,,
37,0.102778,,,
38,0.105556,,,
39,0.108333,,,
40,0.111111,,,
41,0.113889,,,
42,0.116667,,,
43,0.119444,,,
44,0.122222,,,
45,0.125000,,,
46,0.127778,,,
47,0.130556,,,
48,0.133333,,,
49,0.136111,,,
50,0.138889,,,
51,0.141667,,,
52,0.144444,,,
53,0.147222,,,
54,0.150000,,,
55,0.152778,,,
56,0.155556,,,
57,0.158333,,,
58,0.161111,,,
59,0.163889,,,
60,0.166667,,,
61,0.169444,,,
62,0.172222,,,
63,0.175000,,,
64,0.177778,,,
65,0.180556,,,
66,0.183333,,,
67,0.186111,,,
68,0.188889,,,
69,0.191667,,,
70,0.194444,,,
71,0.197222,,,
72,0.200000,,,
73,0.202778,,,
74,0.205556,,,
75,0.208333,,,
76,0.211111,,,
77,0.213889,,,
78,0.216667,,,
79,0.219444,,,
80,0.222222,,,
81,0.225000,,,
82,0.227778,,,
83,0.230556,,,
84,0.233333,,,
85,0.236111,,,
86,0.238889,,,
87,0.241667,,,
88,0.244444,,,
89,0.247222,,,
90,0.250000,,,
91,0.252778,,,
92,0.255556,,,
93,0.258333,,,
94,0.261111,,,
95,0.263889,,,
96,0.266667,,,
97,0.269444,,,
98,0.272222,,,
99,0.275000,,,
100,0.277778,,,
101,0.280556,,,
102,0.283333,,,
103,0.286111,,,
104,0.288889,,,
105,0.291667,,,
106,0.294444,,,
107,0.297222,,,
108,0.300000,,,
109,0.302778,,,
110,0.305556,,,
111,0.308333,,,
112,0.311111,,,
113,0.313889,,,
114,0.316667,,,
115,0.319444,,,
116,0.322222,,,
117,0.325000,,,
118,0.327778,,,
119,0.330556,,,
120,0.333333,,,
121,0.336111,,,
122,0.338889,,,
123,0.341667,,,
124,0.344444,,,
125,0.347222,,,
126,0.350000,,,
127,0.352778,,,
128,0.355556,,,
129,0.358333,,,
130,0.361111,,,
131,0.363889,,,
132,0.366667,,,
133,0.369444,,,
134,0.372222,,,
135,0.375000,,,
136,0.377778,,,
137,0.380556,,,
138,0.383333,,,
139,0.386111,,,
140,0.388889,,,
141,0.391667,,,
142,0.394444,,,
143,0.397222,,,
144,0.400000,,,
145,0.402778,,,
146,0.405556,,,
147,0.408333,,,
148,0.411111,,,
149,0.413889,,,
150,0.416667,,,
151,0.419444,,,
152,0.422222,,,
153,0.425000,,,
154,0.427778,,,
155,0.430556,,,
156,0.433333,,,
157,0.436111,,,
158,0.438889,,,
159,0.441667,,,
160,0.444444,,,
161,0.447222,,,
162,0.450000,,,
163,0.452778,,,
164,0.455556,,,
165,0.458333,,,
166,0.461111,,,
167,0.463889,,,
168,0.466667,,,
169,0.469444,,,
170,0.472222,,,
171,0.475000,,,
172,0.477778,,,
173,0.480556,,,
174,0.483333,,,
175,0.486111,,,
176,0.488889,,,
177,0.491667,,,
178,0.494444,,,
179,0.497222,,,
180,0.500000,,,
181,0.502778,,,
182,0.505556,,,
183,0.508333,,,
184,0.511111,,,
185,0.513889,,,
186,0.516667,,,
187,0.519444,,,
188,0.522222,,,
189,0.525000,,,
190,0.527778,,,
191,0.530556,,,
192,0.533333,,,
193,0.536111,,,
194,0.538889,,,
195,0.541667,,,
196,0.544444,,,
197,0.547222,,,
198,0.550000,,,
199,0.552778,,,
200,0.555556,,,
201,0.558333,,,
202,0.561111,,,
203,0.563889,,,
204,0.566667,,,
205,0.569444,,,
206,0.572222,,,
207,0.575000,,,
208,0.577778,,,
209,0.580556,,,
210,0.583333,,,
211,0.586111,,,
212,0.588889,,,
213,0.591667,,,
214,0.594444,,,
215,0.597222,,,
216,0.600000,,,
217,0.602778,,,
218,0.605556,,,
219,0.608333,,,
220,0.611111,,,
221,0.613889,,,
222,0.616667,,,
223,0.619444,,,
224,0.622222,,,
225,0.625000,,,
226,0.627778,,,
227,0.630556,,,
228,0.633333,,,
229,0.636111,,,
230,0.638889,,,
231,0.641667,,,
232,0.644444,,,
233,0.647222,,,
234,0.650000,,,
235,0.652778,,,
236,0.655556,,,
237,0.658333,,,
238,0.661111,,,
239,0.663889,,,
240,0.666667,,,
241,0.669444,,,
242,0.672222,,,
243,0.675000,,,
244,0.677778,,,
245,0.680556,,,
246,0.683333,,,
247,0.686111,,,
248,0.688889,,,
249,0.691667,,,
250,0.694444,,,
251,0.697222,,,
252,0.700000,,,
253,0.702778,,,
254,0.705556,,,
255,0.708333,,,
256,0.711111,,,
257,0.713889,,,
258,0.716667,,,
259,0.719444,,,
260,0.722222,,,
261,0.725000,,,
262,0.727778,,,
263,0.730556,,,
264,0.733333,,,
265,0.736111,,,
266,0.738889,,,
267,0.741667,,,
268,0.744444,,,
269,0.747222,,,
270,0.750000,,,
271,0.752778,,,
272,0.755556,,,
273,0.758333,,,
274,0.761111,,,
275,0.763889,,,
276,0.766667,,,
277,0.769444,,,
278,0.772222,,,
279,0.775000,,,
280,0.777778,,,
281,0.780556,,,
282,0.783333,,,
283,0.786111,,,
284,0.788889,,,
285,0.791667,,,
286,0.794444,,,
287,0.797222,,,
288,0.800000,,,
289,0.802778,,,
290,0.805556,,,
291,0.808333,,,
292,0.811111,,,
293,0.813889,,,
294,0.816667,,,
295,0.819444,,,
296,0.822222,,,
297,0.825000,,,
298,0.827778,,,
299,0.830556,,,
300,0.833333,,,
301,0.836111,,,
302,0.838889,,,
303,0.841667,,,
304,0.844444,,,
305,0.847222,,,
306,0.850000,,,
307,0.852778,,,
308,0.855556,,,
309,0.858333,,,
310,0.861111,,,
311,0.863889,,,
312,0.866667,,,
313,0.869444,,,
314,0.872222,,,
315,0.875000,,,
316,0.877778,,,
317,0.880556,,,
318,0.883333,,,
319,0.886111,,,
320,0.888889,,,
321,0.891667,,,
322,0.894444,,,
323,0.897222,,,
324,0.900000,,,
325,0.902778,,,
326,0.905556,,,
327,0.908333,,,
328,0.911111,,,
