Format Version,1.23,Take Name,Take 2020-09-22 12.57.47 PM_001,Take Notes,,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2020-09-22 01.04.13.444 PM,Total Frames in Take,6747,Total Exported Frames,6747,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015
,ID,"C5710","C5710","C5710","C5730","C5730","C5730","C5740","C5740","C5740","C5750","C5750","C5750","C5760","C5760","C5760"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,
1,0.004000,,,,,,,,,,,,,,,
2,0.008000,,,,,,,,,,,,,,,
3,0.012000,,,,,,,,,,,,,,,
4,0.016000,,,,,,,,,,,,,,,
5,0.020000,,,,,,,,,,,,,,,
6,0.024000,,,,,,,,,,,,,,,
7,0.028000,,,,,,,,,,,,,,,
8,0.032000,,,,,,,,,,,,,,,
9,0.036000,,,,,,,,,,,,,,,
10,0.040000,,,,,,,,,,,,,,,
11,0.044000,,,,,,,,,,,,,,,
12,0.048000,,,,,,,,,,,,,,,
13,0.052000,,,,,,,,,,,,,,,
14,0.056000,,,,,,,,,,,,,,,
15,0.060000,,,,,,,,,,,,,,,
16,0.064000,,,,,,,,,,,,,,,
17,0.068000,,,,,,,,,,,,,,,
18,0.072000,,,,,,,,,,,,,,,
19,0.076000,,,,,,,,,,,,,,,
20,0.080000,,,,,,,,,,,,,,,
21,0.084000,,,,,,,,,,,,,,,
22,0.088000,,,,,,,,,,,,,,,
23,0.092000,,,,,,,,,,,,,,,
24,0.096000,,,,,,,,,,,,,,,
25,0.100000,,,,,,,,,,,,,,,
26,0.104000,,,,,,,,,,,,,,,
27,0.108000,,,,,,,,,,,,,,,
28,0.112000,,,,,,,,,,,,,,,
29,0.116000,,,,,,,,,,,,,,,
30,0.120000,,,,,,,,,,,,,,,
31,0.124000,,,,,,,,,,,,,,,
32,0.128000,,,,,,,,,,,,,,,
33,0.132000,,,,,,,,,,,,,,,
34,0.136000,,,,,,,,,,,,,,,
35,0.140000,,,,,,,,,,,,,,,
36,0.144000,,,,,,,,,,,,,,,
37,0.148000,,,,,,,,,,,,,,,
38,0.152000,,,,,,,,,,,,,,,
39,0.156000,,,,,,,,,,,,,,,
40,0.160000,,,,,,,,,,,,,,,
41,0.164000,,,,,,,,,,,,,,,
42,0.168000,,,,,,,,,,,,,,,
43,0.172000,,,,,,,,,,,,,,,
44,0.176000,,,,,,,,,,,,,,,
45,0.180000,,,,,,,,,,,,,,,
46,0.184000,,,,,,,,,,,,,,,
47,0.188000,,,,,,,,,,,,,,,
48,0.192000,,,,,,,,,,,,,,,
49,0.196000,,,,,,,,,,,,,,,
50,0.200000,,,,,,,,,,,,,,,
51,0.204000,,,,,,,,,,,,,,,
52,0.208000,,,,,,,,,,,,,,,
53,0.212000,,,,,,,,,,,,,,,
54,0.216000,,,,,,,,,,,,,,,
55,0.220000,,,,,,,,,,,,,,,
56,0.224000,,,,,,,,,,,,,,,
57,0.228000,,,,,,,,,,,,,,,
58,0.232000,,,,,,,,,,,,,,,
59,0.236000,,,,,,,,,,,,,,,
60,0.240000,,,,,,,,,,,,,,,
61,0.244000,,,,,,,,,,,,,,,
62,0.248000,,,,,,,,,,,,,,,
63,0.252000,,,,,,,,,,,,,,,
64,0.256000,,,,,,,,,,,,,,,
65,0.260000,,,,,,,,,,,,,,,
66,0.264000,,,,,,,,,,,,,,,
67,0.268000,,,,,,,,,,,,,,,
68,0.272000,,,,,,,,,,,,,,,
69,0.276000,,,,,,,,,,,,,,,
70,0.280000,,,,,,,,,,,,,,,
