Format Version,1.23,Take Name,Take 2020-09-28 10.54.41 AM_003,Take Notes,,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2020-09-28 11.08.57.849 AM,Total Frames in Take,962,Total Exported Frames,962,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009
,ID,"C3B50","C3B50","C3B50"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
0,0.000000,0.000066,0.000161,1.329299
1,0.004000,0.000074,0.000164,1.329286
2,0.008000,0.000081,0.000172,1.329287
3,0.012000,0.000106,0.000202,1.329305
4,0.016000,0.000100,0.000184,1.329286
5,0.020000,0.000069,0.000167,1.329287
6,0.024000,0.000067,0.000164,1.329285
7,0.028000,0.000075,0.000171,1.329281
8,0.032000,0.000082,0.000165,1.329291
9,0.036000,0.000062,0.000165,1.329285
10,0.040000,0.000079,0.000153,1.329291
11,0.044000,0.000046,0.000132,1.329284
12,0.048000,0.000069,0.000166,1.329276
13,0.052000,0.000070,0.000162,1.329281
14,0.056000,0.000083,0.000176,1.329290
15,0.060000,0.000088,0.000185,1.329282
16,0.064000,0.000081,0.000174,1.329280
17,0.068000,0.000050,0.000145,1.329279
18,0.072000,0.000084,0.000155,1.329278
19,0.076000,0.000056,0.000144,1.329268
20,0.080000,0.000050,0.000128,1.329278
21,0.084000,0.000075,0.000169,1.329281
22,0.088000,0.000075,0.000158,1.329296
23,0.092000,0.000103,0.000185,1.329291
24,0.096000,0.000070,0.000172,1.329281
25,0.100000,0.000094,0.000188,1.329285
26,0.104000,0.000040,0.000132,1.329286
27,0.108000,0.000057,0.000155,1.329290
28,0.112000,0.000067,0.000168,1.329288
29,0.116000,0.000073,0.000147,1.329275
30,0.120000,0.000090,0.000173,1.329299
31,0.124000,0.000072,0.000162,1.329296
32,0.128000,0.000064,0.000155,1.329279
33,0.132000,0.000058,0.000168,1.329293
34,0.136000,0.000086,0.000183,1.329288
35,0.140000,0.000055,0.000153,1.329283
36,0.144000,0.000070,0.000166,1.329287
37,0.148000,0.000076,0.000171,1.329284
38,0.152000,0.000072,0.000156,1.329288
39,0.156000,0.000044,0.000136,1.329285
40,0.160000,0.000092,0.000163,1.329283
41,0.164000,0.000107,0.000190,1.329293
42,0.168000,0.000053,0.000138,1.329274
43,0.172000,0.000058,0.000163,1.329278
