Format Version,1.23,Take Name,Take 2020-09-28 10.54.41 AM,Take Notes,,Capture Frame Rate,250.000000,Export Frame Rate,250.000000,Capture Start Time,2020-09-28 10.54.42.556 AM,Total Frames in Take,868,Total Exported Frames,868,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004
,ID,"C3B20","C3B20","C3B20"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
0,0.000000,-0.003224,0.006876,1.441335
1,0.004000,-0.003259,0.006833,1.441335
2,0.008000,-0.003246,0.006862,1.441349
3,0.012000,-0.003202,0.006887,1.441337
4,0.016000,-0.003204,0.006908,1.441354
5,0.020000,-0.003218,0.006907,1.441346
6,0.024000,-0.003207,0.006901,1.441348
7,0.028000,-0.003243,0.006866,1.441354
8,0.032000,-0.003204,0.006893,1.441353
9,0.036000,-0.003226,0.006861,1.441349
10,0.040000,-0.003204,0.006900,1.441340
11,0.044000,-0.003241,0.006848,1.441348
12,0.048000,-0.003210,0.006875,1.441359
13,0.052000,-0.003200,0.006881,1.441361
14,0.056000,-0.003209,0.006880,1.441355
15,0.060000,-0.003215,0.006891,1.441357
16,0.064000,-0.003249,0.006858,1.441351
17,0.068000,-0.003209,0.006905,1.441346
18,0.072000,-0.003207,0.006868,1.441341
19,0.076000,-0.003200,0.006914,1.441345
20,0.080000,-0.003217,0.006877,1.441364
21,0.084000,-0.003216,0.006866,1.441356
22,0.088000,-0.003210,0.006894,1.441359
23,0.092000,-0.003169,0.006945,1.441361
24,0.096000,-0.003160,0.006937,1.441355
25,0.100000,-0.003204,0.006908,1.441357
26,0.104000,-0.003203,0.006888,1.441356
27,0.108000,-0.003227,0.006903,1.441347
28,0.112000,-0.003241,0.006875,1.441350
29,0.116000,-0.003219,0.006853,1.441355
30,0.120000,-0.003277,0.006804,1.441345
31,0.124000,-0.003209,0.006872,1.441350
32,0.128000,-0.003228,0.006845,1.441348
33,0.132000,-0.003198,0.006888,1.441367
34,0.136000,-0.003196,0.006898,1.441368
35,0.140000,-0.003173,0.006917,1.441357
36,0.144000,-0.003210,0.006889,1.441358
37,0.148000,-0.003182,0.006939,1.441355
